id_pvt_service,id_pvt_user,fullname_user,name_service,category,experience,type_service,type_cost,cost,type_money,business_days,open,close,country,country_name,state,state_name,city,city_name,description,image,status,date,date_update
SER2055052MXVWQUWVIC,US5140785VKCPMUXER,Pedro Garza Benitez,Abogado,Laws,3,in situ,hour,1042,USD,"L,Ma,Mi",13:00,20:00,142,NULL,NULL,NULL,NULL,NULL,Abogado privado,13.jpg,Active,2014-01-05 10:50:00,2014-01-05 10:50:00
SER2374059FLFYYURVIC,US8119072RFAWNSLER,Jesus Sanchez Rafael,Abogado,Laws,5,face to face,equipment,5001,MXN,"L,Ma,Mi,J",16:00,23:00,142,NULL,NULL,NULL,NULL,NULL,Abogado privado,7.jpg,Active,2014-01-06 10:50:00,2014-01-06 10:50:00
SER5920105BDLBQZBVIC,US7133699YPOBFDWER,Vicky Baron Montreal,Abogado,Laws,2,from distance,week,8388,EUR,L,07:00,14:00,142,NULL,NULL,NULL,NULL,NULL,Abogado privado,6.jpg,Active,2014-01-07 10:50:00,2014-01-07 10:50:00
SER6437436PHRZMHGVIC,US1064736NFHMXEXER,Beto Avila Rafael,Abogado,Laws,1,in situ,workingDay,2473,USD,Ma,11:00,18:00,142,NULL,NULL,NULL,NULL,NULL,Abogado privado,12.jpg,Active,2014-01-08 10:50:00,2014-01-08 10:50:00
SER7350658RBHBQSXVIC,US6500595THTEGKOER,Julia Hernandez Bolanos,Abogado,Laws,3,office,project,2242,EUR,Mi,11:00,18:00,142,NULL,NULL,NULL,NULL,NULL,Abogado privado,10.jpg,Active,2014-01-09 10:50:00,2014-01-09 10:50:00
SER8772426PZCSBRFVIC,US5628540BQLVMSUER,Carmen Alvarez Lima,Abogado,Laws,3,from distance,contract,7322,USD,J,07:00,14:00,142,NULL,NULL,NULL,NULL,NULL,Abogado privado,5.jpg,Active,2014-01-10 10:50:00,2014-01-10 10:50:00
SER9782511SRGWMPYVIC,US7096081QXTPAHPER,Sara Rafael Beltran,Abogado,Laws,2,from distance,hour,392,EUR,S,11:00,18:00,142,NULL,NULL,NULL,NULL,NULL,Abogado privado,1.jpg,Active,2014-01-11 10:50:00,2014-01-11 10:50:00
SER5624525CMQYYUSVIC,US2710706WQARCJYER,Claudia Larios Bolanos,Abogado Familiar,Laws,5,other,equipment,8893,EUR,D,09:00,16:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora y se toman casos en el ambito familiar.,2.jpg,Active,2014-01-12 10:50:00,2014-01-12 10:50:00
SER7364891DWRJYOCVIC,US5445563PAJUJOOER,Victoria Baron Britos,Abogado Familiar,Laws,5,other,month,258,EUR,"L,Mi",13:00,20:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora y se toman casos en el ambito familiar.,20.jpg,Active,2014-01-13 10:50:00,2014-01-13 10:50:00
SER8237138HKLVGQKVIC,US3320273KGZXQGRER,Teddy Salas Garza,Abogado Familiar,Laws,1,office,contract,9719,USD,"L,Ma",07:00,14:00,142,NULL,NULL,NULL,NULL,NULL,Se asesora y se toman casos en el ambito familiar.,9.jpg,Active,2014-01-14 10:50:00,2014-01-14 10:50:00
SER1233790XTLIWEHVIC,US9647185IOBUJUWER,Sandra Benitez Otero,Administracion de Bienes Mater,Management,5,from distance,workingDay,3238,EUR,"L,J",09:00,16:00,10,NULL,NULL,NULL,NULL,NULL,Se administran los bienes familiares.,6.jpg,Active,2014-01-15 10:50:00,2014-01-15 10:50:00
SER3646008ENPSVPFVIC,US3476830RSQEXPPER,Gabriela Prado Ortega,Administracion de Bienes Mater,Management,5,from distance,workingDay,8099,EUR,"L,V",07:00,14:00,142,NULL,NULL,NULL,NULL,NULL,Se administran los bienes familiares.,6.jpg,Active,2014-01-16 10:50:00,2014-01-16 10:50:00
SER8456078OXDLJCKVIC,US2299437AWUJWQPER,Emily Sanchez Mejia,Administracion de Bienes Mater,Management,1,office,hour,818,USD,"L,S",09:00,16:00,142,NULL,NULL,NULL,NULL,NULL,Se administran los bienes familiares.,18.jpg,Active,2014-01-17 10:50:00,2014-01-17 10:50:00
